date_done;number_of_task;card_number;numbermarki;position;countpos;massaonepos;perimeter;full_mass;full_perimeter
2020-04-03;149777;13761;‘œ.325.1.750.9.01;5;18;1.069;840.0;19.241999999999997;15120.0
2020-04-03;149782;13753;¡35-24;6;1;4.032;834.0;4.032;834.0
2020-04-03;149960;13787;—10√4Ã2;8;2;31.781;2560.0;63.562;5120.0
2020-04-03;149960;13787;—10√4Ã2;8;2;31.781;2560.0;63.562;5120.0
2020-04-03;149960;13787;—10√4Ã2;8;2;31.781;2560.0;63.562;5120.0
2020-04-03;149998;13802;”149;1;4;30.017;1800.0;120.068;7200.0
2020-04-03;149998;13802;”149;1;8;30.017;1800.0;240.136;14400.0
2020-04-03;149960;13787;—10√8Ã2“;11;40;0.776;620.0;31.04;24800.0
2020-04-03;149996;13804;”260;14;8;16.637;2100.0;133.096;16800.0
2020-04-03;149996;13804;”261;15;4;16.641;2100.0;66.564;8400.0
2020-04-03;149996;13804;”263;2;8;16.29;2120.0;130.32;16960.0
2020-04-03;149996;13804;”263;3;1;11.638;1720.0;11.638;1720.0
2020-04-03;149998;13802;‘4.325.7-12;6;4;137.353;5008.0;549.412;20032.0
2020-04-03;149960;13787;—10√4Ã2;8;6;31.781;2560.0;190.68599999999998;15360.0
2020-04-03;149996;13804;”260;14;8;16.637;2100.0;133.096;16800.0
2020-04-03;149996;13804;”263;2;8;16.29;2120.0;130.32;16960.0
2020-04-03;149777;13761;—10√15Õ;15;76;0.365;470.0;27.74;35720.0
2020-04-03;149998;13802;¡35-2-16ÿ;2;70;1.706;440.0;119.42;30800.0
2020-04-03;149782;13753;¡35-24;5;7;4.689;1200.0;32.823;8400.0
2020-04-03;149782;13753;¡35-4-30;10;32;4.625;924.0;148.0;29568.0
2020-04-03;149618;13744;”411 ;411;2;2.223;910.0;4.446;1820.0
2020-04-03;149618;13744;—10√4”Ã2;10;58;0.676;678.0;39.208000000000006;39324.0
2020-04-03;149589;13739;—10√7Ã2;22;336;0.236;350.0;79.29599999999999;117600.0
2020-04-03;149618;13744;—10√4”Ã2;9;29;1.392;1262.0;40.367999999999995;36598.0
2020-04-03;149589;13739;“Ã»6Ã;2;29;5.99;1496.0;173.71;43384.0
2020-04-03;149589;13739;—295;295;4;2.194;1000.0;8.776;4000.0
2020-04-03;149589;13739;—10√17Ã2;18;8;1.074;760.0;8.592;6080.0
2020-04-03;149589;13739;”411 ;411;2;2.223;910.0;4.446;1820.0
2020-04-03;149589;13739;–145;2;2;2.6;1088.0;5.2;2176.0
2020-04-03;149589;13739;–145;3;2;1.92;982.0;3.84;1964.0
2020-04-03;149619;13745;‘4.325.7-11;5;80;3.316;1066.0;265.28;85280.0
2020-04-03;149589;13739;œÀ1;1;2;0.272;380.0;0.544;760.0
2020-04-03;149589;13739;–10;3;1;0.199;260.0;0.199;260.0
2020-04-03;149589;13739;–10;4;1;0.199;260.0;0.199;260.0
2020-04-03;149589;13739;—10√17Ã2;18;8;1.074;760.0;8.592;6080.0
2020-04-03;149589;13739;—295;295;8;2.194;1000.0;17.552;8000.0
2020-04-03;149589;13739;–89;9;2;1.837;820.0;3.674;1640.0
2020-04-03;149589;13739;–10;5;1;0.17;240.0;0.17;240.0
2020-04-03;149589;13739;–89;8;4;0.334;416.0;1.336;1664.0
2020-04-03;149589;13739;–10;7;1;4.239;1200.0;4.239;1200.0
2020-04-03;149618;13744;”411 ;411;8;2.223;910.0;17.784;7280.0
2020-04-03;149618;13744;—10√4”Ã2;15;116;1.462;820.0;169.59199999999998;95120.0
2020-04-03;149619;13745;”242¿;3;12;0.139;200.0;1.6680000000000001;2400.0
2020-04-03;149619;13745;–144;11;1;17.598;2680.0;17.598;2680.0
2020-04-03;149782;13753;¡35-4-30;8;112;4.625;924.0;518.0;103488.0
2020-04-03;149780;13752;¡35-24;6;7;4.032;834.0;28.224;5838.0
2020-04-03;149780;13752;¡35-24;5;100;4.689;1200.0;468.9;120000.0
2020-04-03;149780;13752;¡35-24;2;3;38.795;3300.0;116.385;9900.0
2020-04-03;149780;13752;¡35-4-30;6;4;2.239;680.0;8.956;2720.0
2020-04-03;149619;13745;—10√4”Ã2;6;163;0.75;510.0;122.25;83130.0
2020-04-03;149619;13745;”152;152;1;1.997;760.0;1.997;760.0
2020-04-03;149619;13745;”293;2;1;1.995;800.0;1.995;800.0
2020-04-03;149589;13739;–10;6;3;0.802;720.0;2.406;2160.0
2020-04-03;149619;13745;”152;152;4;1.997;760.0;7.988;3040.0
2020-04-03;149619;13745;”162 “;1621;4;3.347;1190.0;13.388;4760.0
2020-04-03;149619;13745;”162 Õ;1622;4;3.347;1190.0;13.388;4760.0
2020-04-02;149961;13785;—10√4Ã2;15;40;1.462;820.0;58.48;32800.0
2020-04-02;149961;13785;–10;6;3;0.802;720.0;2.406;2160.0
2020-04-02;149995;13805;—209;10;8;24.131;2700.0;193.048;21600.0
2020-04-02;149961;13785;–89;9;2;1.837;820.0;3.674;1640.0
2020-04-02;149995;13805;”261;15;4;16.641;2100.0;66.564;8400.0
2020-04-02;149995;13805;—208;9;4;24.131;2700.0;96.524;10800.0
2020-04-02;149961;13785;–89;8;4;0.334;416.0;1.336;1664.0
2020-04-02;149961;13785;–10;7;1;4.239;1200.0;4.239;1200.0
2020-04-02;149961;13785;–10;5;1;0.17;240.0;0.17;240.0
2020-04-02;149961;13785;—10√4Ã2;10;20;0.676;678.0;13.520000000000001;13560.0
2020-04-02;149961;13785;–10;4;1;0.199;260.0;0.199;260.0
2020-04-02;149995;13805;”263;3;2;11.638;1720.0;23.276;3440.0
2020-04-02;149961;13785;–10;3;1;0.199;260.0;0.199;260.0
2020-04-02;149995;13805;”263;3;3;11.638;1720.0;34.914;5160.0
2020-04-02;149995;13805;”261;15;8;16.641;2100.0;133.128;16800.0
2020-04-02;149962;13784;“Ã»6Ã;2;10;5.99;1496.0;59.900000000000006;14960.0
2020-04-02;149961;13785;—10√4Ã2;9;10;1.392;1262.0;13.919999999999998;12620.0
2020-04-02;149995;13805;”263;3;8;11.638;1720.0;93.104;13760.0
2020-04-02;149961;13785;—10√14Ã2;9;6;1.392;1262.0;8.352;7572.0
2020-04-02;149961;13785;—10√8Ã2“;12;288;0.386;520.0;111.168;149760.0
2020-04-02;149961;13785;—10√4Ã2;9;2;1.392;1262.0;2.784;2524.0
2020-04-02;149962;13784;—10√15Õ;8;38;1.336;690.0;50.768;26220.0
2020-04-02;149962;13784;“Ã»6Ã;2;19;5.99;1496.0;113.81;28424.0
2020-04-02;149961;13785;“Ã»1Ã;4;72;0.652;600.0;46.944;43200.0
2020-04-02;149962;13784;“Ã»9Ã;2;6;6.588;1496.0;39.528;8976.0
2020-04-02;149961;13785;—10√4Ã2;9;2;1.392;1262.0;2.784;2524.0
2020-04-02;149961;13785;—10√4Ã2;10;4;0.676;678.0;2.704;2712.0
2020-04-02;149962;13784;—10√4Ã2;15;8;1.462;820.0;11.696;6560.0
2020-04-02;149962;13784;“Ã»6Ã;2;2;5.99;1496.0;11.98;2992.0
2020-04-02;149962;13784;“Ã»6Ã;2;2;5.99;1496.0;11.98;2992.0
2020-04-02;149961;13785;—10√4Ã2;10;4;0.676;678.0;2.704;2712.0
2020-04-02;149962;13784;“Ã»6Ã;2;2;5.99;1496.0;11.98;2992.0
2020-04-02;149961;13785;—10√4Ã2;9;2;1.392;1262.0;2.784;2524.0
2020-04-02;149961;13785;—10√4Ã2;10;4;0.676;678.0;2.704;2712.0
2020-04-02;149962;13784;—10√4Ã2;15;8;1.462;820.0;11.696;6560.0
2020-04-02;149961;13785;—10√14Ã2;10;12;0.676;678.0;8.112;8136.0
2020-04-02;149962;13784;—10√14Ã2;15;6;1.391;810.0;8.346;4860.0
2020-04-02;149962;13784;—10√4Ã2;15;8;1.462;820.0;11.696;6560.0
2020-04-02;149961;13785;—10√14Ã2;15;18;1.391;810.0;25.038;14580.0
2020-04-01;149633;13746;œÀ-6;6;2;4.576;1958.0;9.152;3916.0
2020-04-01;149634;13681;œÀ-7;53;3;1.665;948.0;4.995;2844.0
2020-04-01;149633;13746;œ35√»-1-¬—-1;26;16;0.331;440.0;5.296;7040.0
2020-04-01;149633;13746;œ35√»-1-Õ—-1;9;16;0.331;440.0;5.296;7040.0
2020-04-01;149633;13746;œ35√»-1-¬—-1;26;10;0.331;440.0;3.31;4400.0
2020-04-01;149634;13681;œ35√»-1-Õ—-1;9;10;0.331;440.0;3.31;4400.0
2020-04-01;149633;13746;œÀ-3;3;2;4.576;1958.0;9.152;3916.0
2020-04-01;149634;13681;ÿ-1;1;6;7.698;3038.0;46.188;18228.0
2020-04-01;149633;13746;ƒ‘-17;58;1;7.549;2998.0;7.549;2998.0
2020-04-01;149634;13681;—10√23Ã;40;8;0.331;440.0;2.648;3520.0
2020-04-01;149634;13681;—10√23Ã;41;8;0.502;540.0;4.016;4320.0
2020-04-01;149634;13681;ƒ‘-17;55;1;7.552;2998.0;7.552;2998.0
